City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
602,Methoni,GR,36.8197,21.7049,87.22,56,0,9.55,clear sky
603,Nara,JP,34.6851,135.8049,91.96,73,75,2.35,broken clouds
604,Puerto Princesa,PH,9.7392,118.7353,79.0,89,97,7.16,light rain
605,Ha Giang,VN,22.8333,104.9833,83.03,93,90,3.98,overcast clouds
606,Andenes,NO,69.3143,16.1194,55.92,82,0,14.97,clear sky
607,Siparia,TT,10.1333,-61.5,76.82,95,77,9.4,broken clouds
608,Bafq,IR,31.6128,55.4107,92.91,14,0,8.19,clear sky
609,Tartus,SY,34.889,35.8866,84.04,64,0,8.43,clear sky
610,Suntar,RU,62.1444,117.6319,58.26,66,100,8.12,overcast clouds
611,Rafai,CF,4.95,23.9167,70.74,96,99,1.99,overcast clouds
612,Soldotna,US,60.4878,-151.0583,56.01,87,79,12.86,broken clouds
613,Greenwood,US,34.1668,-82.1165,76.62,57,0,0.0,clear sky
614,Manaure,CO,11.7751,-72.4445,80.37,78,51,13.49,broken clouds
615,Vysokopillya,UA,47.4919,33.5306,76.12,58,19,8.37,few clouds
616,Ushtobe,KZ,45.2514,77.9838,90.34,20,11,11.21,few clouds
617,Tezu,IN,27.9167,96.1667,93.79,61,40,3.0,scattered clouds
618,Singkang,MY,2.1006,102.7994,87.22,53,91,4.45,overcast clouds
619,Wageningen,NL,51.9667,5.6667,56.82,92,3,4.21,clear sky
620,Verkhnetulomskiy,RU,68.6073,31.7962,53.73,98,100,6.13,overcast clouds
621,Maturin,VE,9.75,-63.1767,71.71,98,45,3.69,scattered clouds
622,Vodnyy,RU,63.5046,53.4095,80.08,47,67,7.7,broken clouds
623,Berdigestyakh,RU,62.0989,126.6992,54.59,93,100,3.02,overcast clouds
624,Upata,VE,8.0086,-62.3989,74.19,97,83,4.16,broken clouds
625,Hamilton,US,39.1834,-84.5333,75.15,95,100,0.0,overcast clouds
626,Arbagar,RU,51.9438,116.2805,73.08,42,60,6.51,broken clouds
627,Yerbogachen,RU,61.2767,108.0108,48.02,92,100,8.1,light rain
628,Togur,RU,58.3631,82.8265,75.51,47,54,4.5,broken clouds
629,Carroll,US,39.5501,-77.0164,73.04,87,100,1.99,overcast clouds
630,Toktogul,KG,41.8708,72.9402,77.16,39,36,3.44,scattered clouds
631,Nanakuli,US,21.3906,-158.1547,79.99,69,40,3.44,scattered clouds
632,Maragheh,IR,37.3917,46.2398,85.44,29,0,3.56,clear sky
633,Chandur,IN,19.7333,79.1833,84.85,73,99,8.79,overcast clouds
634,Ambanja,MG,-13.6833,48.45,78.06,53,49,0.69,scattered clouds
635,Santa Quiteria,BR,-4.3319,-40.1567,70.97,73,0,3.27,clear sky
636,Pincher Creek,CA,49.4833,-113.952,55.89,59,96,2.8,overcast clouds
637,Glenwood Springs,US,39.5505,-107.3248,70.83,62,100,10.36,overcast clouds
638,Bahir Dar,ET,11.5936,37.3908,59.88,97,100,3.15,heavy intensity rain
639,Kande,TG,9.9578,1.0447,70.07,89,100,1.83,overcast clouds
640,Sandpoint,US,48.2766,-116.5533,61.63,69,0,0.0,clear sky
641,Marystown,CA,47.1666,-55.1483,64.85,100,95,1.01,overcast clouds
642,Tual,ID,-5.6667,132.75,77.31,87,97,8.43,overcast clouds
643,Goderich,CA,43.7501,-81.7165,72.91,94,0,9.08,clear sky
644,Byumba,RW,-1.5763,30.0675,55.6,61,66,3.58,broken clouds
645,Marsaxlokk,MT,35.8419,14.5431,81.21,78,0,10.36,clear sky
646,Srandakan,ID,-7.9386,110.2506,83.05,67,26,11.16,scattered clouds
647,Paciran,ID,-6.8767,112.3761,86.92,54,51,4.94,broken clouds
648,Pontes E Lacerda,BR,-15.2261,-59.3353,71.76,57,83,0.56,broken clouds
649,Pontianak,ID,-0.0333,109.3333,85.98,70,75,4.61,broken clouds
650,Zhanaozen,KZ,43.3,52.8,85.26,26,100,13.62,overcast clouds
651,Linxi,CN,39.7,118.4333,99.81,43,84,8.43,broken clouds
